entity,category,color
Men,Identity,#63360f
Scientology,Identity,#63360f
Defence,Fact,#518254
30 years in prison,Fact,#518254
First jury,Fact,#518254
Verbal evidence,Fact,#518254
Controversy,Fact,#518254
Re-trial,Fact,#518254
#MeToo,Identity,#63360f
30 years to life,Fact,#518254
Kevin Spacey,Human Names,#cc7914
Sexual encounters,Fact,#518254
No physical evidence,Fact,#518254
Predator,Identity,#63360f
Guilty verdict,Fact,#518254
#MeToo moral panic,Opinion,#87b043
Sexual assault,Fact,#518254
Sentence,Fact,#518254
Justice,Opinion,#87b043
The '70s Show,Identity,#63360f
Hollywood,Identity,#63360f
Consensual,Opinion,#87b043
Family,Identity,#63360f
Crusaders,Identity,#63360f
Mila Kunis,Human Names,#cc7914
Irresponsible,Opinion,#87b043
Lizzo,Human Names,#cc7914
Brock Turner,Human Names,#cc7914
Ashton Kutcher,Human Names,#cc7914
Hope,Opinion,#87b043
Survivor,Identity,#63360f
Ashley Hinshaw,Human Names,#cc7914
Statute of limitations,Fact,#518254
Conan O'Brien,Human Names,#cc7914
#MeToo Comeback,Opinion,#87b043
Women,Identity,#63360f
Wilmer Valderrama,Human Names,#cc7914
Bad reputation with women,Opinion,#87b043
Ambush,Opinion,#87b043
Bad reputation,Opinion,#87b043
Liars,Identity,#63360f
Robbery,Opinion,#87b043
Apology,Fact,#518254
Donald Trump,Human Names,#cc7914
Cult,Identity,#63360f
Guilty,Fact,#518254
Republicans,Identity,#63360f
Victims,Identity,#63360f
Harvey Weinstein,Human Names,#cc7914
Russell Brand,Human Names,#cc7914
Abusers,Identity,#63360f
Dispatches,Identity,#63360f
Christina Ricci,Human Names,#cc7914
Awesome guys,Identity,#63360f
Bijou Phillips,Human Names,#cc7914
Divorce,Fact,#518254
