name,year,citationcount,affiliation,paperID
Ben Shneiderman,1971,11,"State University of New York at Farmingdale, Farmingdale, New York",00
Ben Shneiderman,1973,102,"Stony Brook University, Stony Brook, NY",02
Ben Shneiderman,1992,2227,Department of Computer Science|Human-Computer Interaction Laboratory|University of Maryland,53e9b11db7602d9703b9ef40
Jaroslav Tyman,2004,6,Georgia Institute of Technology,53e9978db7602d9701f50690
Grant P. Gruetzmacher,2004,6,Georgia Institute of Technology,53e9978db7602d9701f50690
John Stasko,2004,6,Georgia Institute of Technology,53e9978db7602d9701f50690
Ben Shneiderman,2000,932,"Univ. of Maryland, College Park",53e997bab7602d9701fa3d8d
Marc Brown,1994,167,"DEC Systems Research Center, Palo Alto, CA",53e997c1b7602d9701fac36e
John Domingue,1994,167,"HCRL, The Open University, Milton Keynes, UK",53e997c1b7602d9701fac36e
Blaine Price,1994,167,"HCRL, The Open University, Milton Keynes, UK",53e997c1b7602d9701fac36e
John Stasko,1994,167,"Graphics, Visualization and Usability Center, College of Computing, Georgia Institute of Technology, Atlanta, GA",53e997c1b7602d9701fac36e
Ben Shneiderman,1973,12,"State University Agricultural and Technical College, Farmingdale, U.S.A.",53e997cbb7602d9701fbb960
Daniel A. Keim,2013,218,University of Konstanz,53e997e8b7602d9701fdff59
Huamin Qu,2013,218,Hong Kong University of Science and Technology,53e997e8b7602d9701fdff59
Kwan-Liu Ma,2013,218,"University of California, Davis",53e997e8b7602d9701fdff59
Ben Shneiderman,1992,0,,53e997ecb7602d9701fe8112
Susanne M. Humphrey,1992,0,,53e997ecb7602d9701fe8112
Susanne M. Humphrey,1987,0,,53e997ecb7602d9701fe8113
Ben Shneiderman,1987,0,,53e997ecb7602d9701fe8113
Maneesh Agrawala,2000,162,"Stanford Univ, Stanford, CA 94305 USA",53e997ecb7602d9701fe977b
Denis Zorin,2000,162,"Stanford Univ, Stanford, CA 94305 USA",53e997ecb7602d9701fe977b
Tamara Munzner,2000,162,"Stanford Univ, Stanford, CA 94305 USA",53e997ecb7602d9701fe977b
Ben Shneiderman,2002,219,"professor in the Department of Computer Science at the University of Maryland, and the founding director of the Human-Computer Interaction Lab",53e99808b7602d9702019fd2
Carlos D. Correa,2010,103,"University of California, Davis",53e9980eb7602d97020280dc
Kwan-Liu Ma,2010,103,"University of California, Davis",53e9980eb7602d97020280dc
Michael Ogawa,2010,149,"Univ Calif Davis, VIDI Lab, Davis, CA 95616 USA",53e9981db7602d970203cbc2
Kwan-Liu Ma,2010,149,"Univ Calif Davis, VIDI Lab, Davis, CA 95616 USA",53e9981db7602d970203cbc2
Ben Shneiderman,1974,24,"Indiana Univ., Bloomington",53e9981db7602d970203d5ca
Peter Scheuermann,1974,24,"State Univ. of New York at Stony Brook, Stony Brook",53e9981db7602d970203d5ca
Ben Shneiderman,2001,364,"Univ Maryland, Dept Comp Engn, Human Comp Interact Lab, Inst Adv Comp Studies, College Pk, MD 20742 USA",53e99838b7602d9702061af7
Martin Wattenberg,2001,364,"Univ Maryland, Dept Comp Engn, Human Comp Interact Lab, Inst Adv Comp Studies, College Pk, MD 20742 USA",53e99838b7602d9702061af7
David Crawford,2004,15,"Univ Calif Davis, Dept Comp Sci, 1 Shields Ave, Davis, CA 95616 USA",53e9984bb7602d970207d68a
Kwan-Liu Ma,2004,15,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA",53e9984bb7602d970207d68a
