name,year,citationcount,affiliation
Ben Shneiderman,1971,11,"State University of New York at Farmingdale, Farmingdale, New York"
Ben Shneiderman,1973,102,"State University of New York at Stony Brook, Stony Brook, L. I., New York"
Ben Shneiderman,1992,2227,Department of Computer Science|Human-Computer Interaction Laboratory|University of Maryland
Jaroslav Tyman,2004,6,Georgia Institute of Technology
Grant P. Gruetzmacher,2004,6,Georgia Institute of Technology
John Stasko,2004,6,Georgia Institute of Technology
Ben Shneiderman,2000,932,"Univ. of Maryland, College Park"
Marc Brown,1994,167,"DEC Systems Research Center, Palo Alto, CA"
John Domingue,1994,167,"HCRL, The Open University, Milton Keynes, UK"
Blaine Price,1994,167,"HCRL, The Open University, Milton Keynes, UK"
John Stasko,1994,167,"Graphics, Visualization and Usability Center, College of Computing, Georgia Institute of Technology, Atlanta, GA"
Ben Shneiderman,1973,12,"State University Agricultural and Technical College, Farmingdale, U.S.A."
Daniel A. Keim,2013,218,University of Konstanz
Huamin Qu,2013,218,Hong Kong University of Science and Technology
Kwan-Liu Ma,2013,218,"University of California, Davis"
Ben Shneiderman,1992,0,"University of Maryland, College Park, MD"
Susanne M. Humphrey,1992,0,"National Library of Medicine Bethesda, MD"
Susanne M. Humphrey,1987,0,"National Library of Medicine Bethesda, MD"
Ben Shneiderman,1987,0,"University of Maryland, College Park"
Maneesh Agrawala,2000,162,"Stanford Univ, Stanford, CA 94305 USA"
Denis Zorin,2000,162,"New York Univ, New York, NY 10003 USA"
Tamara Munzner,2000,162,"Stanford Univ, Stanford, CA 94305 USA"
Ben Shneiderman,2002,219,"Univ. of Maryland, College Park"
Carlos D. Correa,2010,103,"University of California, Davis"
Kwan-Liu Ma,2010,103,"University of California, Davis"
Michael Ogawa,2010,149,"Univ Calif Davis, VIDI Lab, Davis, CA 95616 USA"
Kwan-Liu Ma,2010,149,"Univ Calif Davis, VIDI Lab, Davis, CA 95616 USA"
Ben Shneiderman,1974,24,"Indiana Univ., Bloomington"
Peter Scheuermann,1974,24,"State Univ. of New York at Stony Brook, Stony Brook"
Ben Shneiderman,2001,364,"Univ Maryland, Dept Comp Engn, Human Comp Interact Lab, Inst Adv Comp Studies, College Pk, MD 20742 USA"
Martin Wattenberg,2001,364,"Columbia Univ, New York, NY 10027 USA"
David Crawford,2004,15,"Univ Calif Davis, Dept Comp Sci, 1 Shields Ave, Davis, CA 95616 USA"
Kwan-Liu Ma,2004,15,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
Min-Yu Huang,2004,15,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
Scott Klasky,2004,15,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
Stephane Ethier,2004,15,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
Daniel Archambault,2013,38,"Swansea Univ, Dept Comp Sci, Swansea, W Glam, Wales"
James Abello,2013,38,"Rutgers State Univ, DIMACS Ctr, Discrete Math & Theoret Comp Sci, New Brunswick, NJ 8901 USA"
