year,source,target,id,type,citationcount,count
1971,Ben Shneiderman,Ben Shneiderman,00,Co-co-author,11.0,1
1973,Ben Shneiderman,Ben Shneiderman,02,Co-co-author,102.0,1
1974,Ben Shneiderman,Peter Scheuermann,53e9981db7602d970203d5ca,Co-co-author,24.0,1
1975,Ben Shneiderman,Ben Shneiderman,53e9ae76b7602d97038916d9,Co-co-author,29.0,1
1976,Ben Shneiderman,Stuart C. Shapiro,53e9b802b7602d97043b639a,Co-co-author,10.0,1
1976,John Buck,Ben Shneiderman,53e9a946b7602d97032984f9,Co-co-author,8.0,1
1977,Ben Shneiderman,Don McKay,53e9abfeb7602d97035be356,Co-co-author,270.0,1
1977,Ben Shneiderman,Peter Heller,53e9abfeb7602d97035be356,Co-co-author,270.0,1
1977,Ben Shneiderman,Richard Mayer,53e9abfeb7602d97035be356,Co-co-author,270.0,1
1978,Jeanne M. Lee,Ben Shneiderman,53e9bc79b7602d97048f5279,Co-co-author,12.0,1
1979,Ben Shneiderman,Richard Mayer,53e9a162b7602d9702a52070,Co-co-author,502.0,1
1979,Robert W. Taylor,Ben Shneiderman,53e99f19b7602d97027e6564,Co-co-author,12.0,1
1979,Robert W. Taylor,Diane C. P. Smith,53e99f19b7602d97027e6564,Co-co-author,12.0,1
1979,Robert W. Taylor,James P. Fry,53e99f19b7602d97027e6564,Co-co-author,12.0,1
1979,Robert W. Taylor,Stanley Y. W. Su,53e99f19b7602d97027e6564,Co-co-author,12.0,1
1980,Ben Shneiderman,Glenn Thomas,53e999e7b7602d970222fa1d,Co-co-author,10.0,1
1980,Tom Di Persio,Ben Shneiderman,53e9b9b4b7602d97045a3c8a,Co-co-author,23.0,1
1980,Tom Di Persio,Dan Isbister,53e9b9b4b7602d97045a3c8a,Co-co-author,23.0,1
1981,Ben Shneiderman,Ben Shneiderman,53e9b102b7602d9703b7c004,Co-co-author,2.0,1
1981,Ben Shneiderman,Ben Shneiderman,53e99a3cb7602d970229bf4e,Co-co-author,0.0,1
1981,Ben Shneiderman,Ben Shneiderman,53e9b873b7602d9704441299,Co-co-author,30.0,1
1982,Ben Shneiderman,Glenn Thomas,53e99eb5b7602d970277e91b,Co-co-author,9.0,1
1982,Ben Shneiderman,Glenn Thomas,53e9b304b7602d9703dcb0c9,Co-co-author,84.0,1
1983,Floyd Sykes,Ben Shneiderman,53e9b4e9b7602d970401430f,Co-co-author,5.0,1
1983,Floyd Sykes,Raymund T. Tillman,53e9b4e9b7602d970401430f,Co-co-author,5.0,1
1983,Richard J. Miara,Ben Shneiderman,53e99b2cb7602d97023c5833,Co-co-author,185.0,1
1983,Richard J. Miara,Joyce A. Musselman,53e99b2cb7602d97023c5833,Co-co-author,185.0,1
1983,Richard J. Miara,Juan A. Navarro,53e99b2cb7602d97023c5833,Co-co-author,185.0,1
1984,Matthew Powers,Ben Shneiderman,53e999d2b7602d9702215e6a,Co-co-author,83.0,1
1984,Matthew Powers,Conda Lashley,53e999d2b7602d9702215e6a,Co-co-author,83.0,1
1984,Matthew Powers,Pamela Sanchez,53e999d2b7602d9702215e6a,Co-co-author,83.0,1
1986,Charles A. MacArthur,Ben Shneiderman,53e9bce8b7602d970496d87a,Co-co-author,3.0,1
1986,Kent L. Norman,Ben Shneiderman,53e9b731b7602d97042c7369,Co-co-author,118.0,1
1986,Kent L. Norman,Linda J. Weldon,53e9b731b7602d97042c7369,Co-co-author,118.0,1
1986,Osamu Iseki,Ben Shneiderman,53e9b839b7602d97043f84e4,Co-co-author,9.0,1
1987,Irene Greif,Ben Shneiderman,53e9a79eb7602d97030d8b51,Co-co-author,1.0,1
1987,Irene Greif,Bill Curtis,53e9a79eb7602d97030d8b51,Co-co-author,1.0,1
1987,Irene Greif,Herb Krasner,53e9a79eb7602d97030d8b51,Co-co-author,1.0,1
1987,Irene Greif,Thomas W. Malone,53e9a79eb7602d97030d8b51,Co-co-author,1.0,1
1987,J. F. Reisel,Ben Shneiderman,53e9a066b7602d970294c528,Co-co-author,53.0,1
1987,Susanne M. Humphrey,Ben Shneiderman,53e997ecb7602d9701fe8113,Co-co-author,0.0,1
1988,Ben Shneiderman,John M. Carroll,53e9b4a1b7602d9703fad7a6,Co-co-author,1.0,1
1988,Daniel Ostroff,Ben Shneiderman,53e9ba76b7602d970469b88a,Co-co-author,41.0,1
1988,Richard Furuta,Ben Shneiderman,53e9b9dab7602d97045d3a78,Co-co-author,56.0,1
1988,Richard Furuta,Catherine Plaisant,53e9b9dab7602d97045d3a78,Co-co-author,56.0,1
1989,Ben Shneiderman,Catherine Plaisant,53e9ace8b7602d97036c5e2d,Co-co-author,72.0,1
1989,Ben Shneiderman,Dorothy Brethauer,53e9ace8b7602d97036c5e2d,Co-co-author,72.0,1
1989,Ben Shneiderman,Richard Potter,53e9ace8b7602d97036c5e2d,Co-co-author,72.0,1
1989,Frank G. Halasz,Amy Pearl,53e9af53b7602d97039973b6,Co-co-author,2.0,1
1989,Frank G. Halasz,Ben Shneiderman,53e9af53b7602d97039973b6,Co-co-author,2.0,1
1989,Frank G. Halasz,Donald L. Mccracken,53e9af53b7602d97039973b6,Co-co-author,2.0,1
1989,Frank G. Halasz,Norman K. Meyrowitz,53e9af53b7602d97039973b6,Co-co-author,2.0,1
1989,Richard Furuta,Ben Shneiderman,53e9bb36b7602d97047756ca,Co-co-author,82.0,1
1989,Richard Furuta,Catherine Plaisant,53e9bb36b7602d97047756ca,Co-co-author,82.0,1
1989,Richard H.C. Seabrook,Ben Shneiderman,53e9a6bbb7602d9702fec6a8,Co-co-author,12.0,1
1989,Richard Potter,Ben Shneiderman,53e9b1a3b7602d9703c2be1c,Co-co-author,30.0,1
1989,Richard Potter,Mitchell Berman,53e9b1a3b7602d9703c2be1c,Co-co-author,30.0,1
1990,Andrew Sears,Ben Shneiderman,53e99eaeb7602d9702776e38,Co-co-author,8.0,1
1990,Andrew Sears,Ben Shneiderman,53e99eaeb7602d9702776e49,Co-co-author,13.0,1
1990,Andrew Sears,Yoram Kochavy,53e99eaeb7602d9702776e38,Co-co-author,8.0,1
1990,Andrew Sears,Yoram Kochavy,53e99eaeb7602d9702776e49,Co-co-author,13.0,1
1990,Christos Faloutsos,Ben Shneiderman,53e9a089b7602d97029717b1,Co-co-author,33.0,1
1990,Christos Faloutsos,Catherine Plaisant,53e9a089b7602d97029717b1,Co-co-author,33.0,1
1990,Christos Faloutsos,Raymond Lee,53e9a089b7602d97029717b1,Co-co-author,33.0,1
1990,Patricia Baird,Ben Shneiderman,53e99cd2b7602d9702586509,Co-co-author,6.0,1
1990,Patricia Baird,Ian Williams,53e99cd2b7602d9702586509,Co-co-author,6.0,1
1990,Patricia Baird,Jacqueline Covo,53e99cd2b7602d9702586509,Co-co-author,6.0,1
1990,Patricia Baird,Renee Deter,53e99cd2b7602d9702586509,Co-co-author,6.0,1
1990,Tricia Jones,Ben Shneiderman,53e99ddbb7602d970269faff,Co-co-author,7.0,1
1991,Andrew Sears,Ben Shneiderman,53e9b43db7602d9703f3975b,Co-co-author,549.0,1
1991,Ben Shneiderman,Catherine Plaisant,53e9aa66b7602d97033d9fb1,Co-co-author,31.0,1
1991,Ben Shneiderman,Don Hopkins,53e9aa66b7602d97033d9fb1,Co-co-author,31.0,1
1991,Ben Shneiderman,Rodrigo Botafogo,53e9aa66b7602d97033d9fb1,Co-co-author,31.0,1
1991,Ben Shneiderman,William Weiland,53e9aa66b7602d97033d9fb1,Co-co-author,31.0,1
1991,Brad A. Myers,Allen Cypher,53e99a2bb7602d9702287915,Co-co-author,22.0,1
1991,Brad A. Myers,Ben Shneiderman,53e99a2bb7602d9702287915,Co-co-author,22.0,1
1991,Brad A. Myers,David C. Smith,53e99a2bb7602d9702287915,Co-co-author,22.0,1
1991,Brad A. Myers,David Maulsby,53e99a2bb7602d9702287915,Co-co-author,22.0,1
1991,Brian Johnson,Ben Shneiderman,53e99aa5b7602d970231b53d,Co-co-author,2238.0,1
1991,Catherine Plaisant,Ben Shneiderman,53e9bc42b7602d97048b6185,Co-co-author,12.0,1
1991,Kwan-Liu Ma,James S. Painter,53e9b321b7602d9703defd98,Co-co-author,34.0,1
1991,Kwan-Liu Ma,K. Sikorski,53e9b5edb7602d970413d078,Co-co-author,1.0,1
1991,Kwan-Liu Ma,Michael F. Cohen,53e9b321b7602d9703defd98,Co-co-author,34.0,1
1991,Rodrigo A. Botafogo,Ben Shneiderman,53e9a8f9b7602d970324afbb,Co-co-author,230.0,1
1992,Abbe Don,Ben Shneiderman,53e9a011b7602d97028f82b9,Co-co-author,87.0,1
1992,Abbe Don,Brenda Laurel,53e9a011b7602d97028f82b9,Co-co-author,87.0,1
